Piece Title,Genre,Description,Bpm,Key,Time Signature,Mode,Duration,Instruments,Keywords,Mood,Production Style,Overall Quality,Soundcloud Link,TV PLACEMENT YES: TARGET
Princess,"Score, Orchestral","a very long, magical, and cute score type piece",120,D,4/4,Ionian,8:31,"Strings, orchestra, flute, clarinet, marimba, piano","sleepy, cute, energetic, childish, magical, the little prince, magic, peter pan, cartoon, comic, animation, animated, relaxing, dreamy, dreaming, teddy bear, toys, toy, morning, waking up, wake up, sweet, christmas","cheerful, contemplative, dreamy, magical, hopeful, pleasant, positive, calm, whimsical, youthful, wonder, thoughtful","romance, drama, teen, special occasion, fantasy",3,,0
Pump,"Score, Drone","A phrygian drone track featuring solo cello, inspired by the desolation of an oil field in the middle east",130,Em,4/4,Phrygian,6:56,"Synth, Synth Bass, Solo Cello, Percussion, Elec. Drums","Space Station, Space, Spacecraft, Docking, Alarm, Pumping, Pump, Oil, Iraq, Afghanistan, Middle east, Desolate, Desolation, Drone, Explosives, IED, Humvee, Desert","Driving, Fearful, Resolute, Tense","Action, Sci-Fi, Chase/Fight, Drama, Heroic",4,,0
Premonition,"Drone, Ambient",A birdcall infused drone synth ambiance,120,Cm,4/4,Aeolian,6:56,"Synthesizer, Sound Effects","meditation, new age, drone, meditate, nature, documentary, gritty, birds, birdcalls, space station, hollow, coins, money, ambient, ambiance","Meditative, Tense, Intense","Sci-fi, Documentary, Builds, Crime, Drama",4,,0
Mountain Passage,"Drone, Ambient",A a deep and icy synth drone ambiance,108,B,4/4,Ionian,6:48,Synth Sound Effects,"Meditation, new age, drone, meditate, nature, documentary, windy, wind, reverb, throat singing, synth, ambient, ambiance","Meditative, Chill, Ominous, Dark, Relaxed","Drama, Romance, Documentary, Crime",4,,0
Sky Passage 2,"Drone, Ambient","A spacy, ethereal, sound design infused synth drone piece",106,C,4/4,Ionian,6:38,"Synthesizer, Sound Effects","meditation, new age, drone, meditate, nature, documentary, desert, jungle, island, ambiance, ambient, birds, crows,","Meditative, eerie, positive, dark","Sci-fi, Documentary, Crime,Drama",4,,0
Sea Passage,"Drone, Ambient","A peaceful, lonely ambiance inspired by crossing the sea",120,Ab,4/4,Ionian,6:36,"Synth, Synth Pad, Synth Bass, Sound Effects","Lonely, Peaceful, Nature, Documentary, Ocean, Spacy, Trippy, Aquarium, Drone, Serenity, Crystals, Peace, New Age","Chill, Joyful, Happy, Meditative, Relaxed, Positive","Romance, Drama, Teen, Documentary",4,,0
Coral Empire,Ambient,Algorithmically generated ambient soundtrack music,120,C,4/4,Ionian,6:26,"Synth Pad, Synth, Synth Bass","Ambient, documentary, nature, meditation, meditative, relaxing, chill, ","Relaxed, Happy, Uplifting","Documentary, Romance, Drama",4,,0
Sky Passage 1,"Drone, Ambient",Sound Designy ambient drone piece,53,C,4/4,Ionian,6:20,"Synthesizer, Sound Effects","crime, sound design, paper, tearing paper, drone, ambiance, ambience, ambient, ambiant, droning, heat, desert, middle east, meditate, meditation, concrete, documentary, score, dark, moody, creepy, spooky, phrygian, nature, natural, morning, desolate, deserted, texture, ","chill, dark, gloomy, mysterious, ominous, suspenseful, dark, lethargic","documentary, drama, crime, romance",4,,0
Tide,"Drone, Ambient",A peaceful but unsettled synth ambiance with a lot of sound design,120,B,4/4,Aeolian,6:10,"Synth, Synth Pad, Synth Bass, Sound Effects","Ocean, Surf, Meditation, Meditative, Ambient, Healing, New Age, Ambiance, Documentary, Nature, Desert, Mountains, Swells, Sound effects","Chill, Dark, Epic, Meditative, Moody","Documentary, Sci-Fi, Horror, Crime, Drama",4,,0
Spirit Passage,"Drone, Ambient","An ambient, drone-driven score featuring processed recordings of nature sounds",116,Ebm,4/4,Aeolian,5:46,"Synth Organ, Wind Chimes, Synth, Sound Design","Nature, Wolves, Spiders, Morning, Sunrise, Wilderness, Waking Up, Birds, Steam Engine, Train","Chill, Ambient, Ambience, Eerie, Lonely, Meditative, Mellow, Peaceful, Reflective, Mellow, Pensive","Documentary, Romance",4,,0
Spirit Gate,"Drone, Ambient","An ambient, drone-driven score featuring processed recordings of nature sounds",120,C,4/4,Ionian,5:42,"Synth, Synth Flute, Synth Organ, Organ, Sound Design","Nature, Wolves, Spiders, Morning, Sunrise, Wilderness, Waking Up, Birds, Coyotes","Chill, Ambient, Ambience, Eerie, Lonely, Meditative, Mellow, Peaceful, Reflective, Mellow, Pensive","Documentary, Romance",4,,0
Night Passage 3,"Drone, Ambient","A spacy and synth driven ambience with delayed plucks, evocative of a city at night.",123,Ebm,4/4,Aeolian,5:34,"Synthesizer, Sound Effects","meditation, new age, drone, meditate, nature, documentary, cityscape, darkness, streetlights, reverb, ethereal, sparkly, ambient, ambiance ","Meditative, Chill, Relaxed","Documentary, Romance, Romantic Comedy, Crime",4,,0
Hexx 24,"Score, Contemporary Classical",Eerie and strange quarter tone horror piece,120,Gm,4/4,Aeolian,5:24,"Synth Bass, Synth, String Quartet, Violin, Viola, Cello","Horror, Quarter Tone, Eerie, Weird, Creepy, Murder, Dread, Dreadful, Dramatic","Scary, Weird, Terrifying","Horror, Drama, Crime",4,,0
Sendai,"Drone, Ambient",A sparse and deeply meditative ambient piece featuring intermittant singing bowl hits.,120,Ebm,4/4,Aeolian,5:16,"Percussion, Synth Bass, Sound Effects","Meditation, Buddhism, Buddhist, Buddha, Crystals, New Age, Healing, Ambience, Ambient, Drone, Temple, Meditate, Documentary, solitary, lonely, tragedy","Chill, Dark, Meditative, Positive, Relaxed","Documentary, Romance, Drama",4,,0
Here Still,"Drone, Ambient",A meditative and sparkling synth drone ambiance,111,Cm,4/4,Aeolian,5:05,"Synthesizer, Sound Effects","Meditation, new age, drone, meditate, nature, documentary, water, drips, synth, echo, symbolic, trance, sleepy, ambient, ambiance","Meditative, Chill, Relaxed, ","Drama, Romance, Documentary, Sci-fi",4,,0
